namespace_name	no_of_unedited_pages
User talk	88443
Talk	24623
Main	22207
File	7285
Category	6510
Template	4205
User	3603
Project	2006
File talk	606
MediaWiki	310
Project talk	197
Template talk	185
Help	135
Category talk	122
MediaWiki talk	12
Help talk	5
