id	user	by	timestamp	expiry	duration-l10n	reason	nocreate	autoblock	noemail	allowusertalk	anononly	partial	wiki
28096	2409:4089:1D0F:89E5:0:0:4E4A:8512	Vijayanrajapuram	2023-12-27T03:19:28Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം: ലീ ജുൻ താളിലെ നശീകരണം							mlwiki
28095	2409:40E2:2F:3229:8000:0:0:0	Ajeeshkumar4u	2023-12-22T03:34:22Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
28094	157.41.249.36	Ajeeshkumar4u	2023-12-20T04:02:28Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
28093	2409:4089:1E84:E1A3:E59B:582C:ABF0:2996	Ajeeshkumar4u	2023-12-11T03:25:41Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
28092	157.41.248.59	Ajeeshkumar4u	2023-12-10T07:20:56Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
28091	61.1.180.57	Ajeeshkumar4u	2023-11-10T06:43:36Z	infinity	അനിശ്ചിത കാലം	തുടർച്ചയായി നിഷ്പക്ഷതാരഹിതമായതും താല്പര്യവ്യത്യാസമുള്ളതുമായ വിവരങ്ങൾ  ചേർക്കൽ: ഒരേ താൾ പല ഐഡികൾ/ ഐപികൾ എന്നിവയിൽ നിന്ന് തുടർച്ചയായി സൃഷ്ടിക്കുന്നു							mlwiki
28090	117.250.237.97	Ajeeshkumar4u	2023-11-10T05:04:33Z	infinity	അനിശ്ചിത കാലം	തുടർച്ചയായി നിഷ്പക്ഷതാരഹിതമായതും താല്പര്യവ്യത്യാസമുള്ളതുമായ വിവരങ്ങൾ  ചേർക്കൽ: ഒരേ താൾ പല ഐഡികൾ/ ഐപികൾ എന്നിവയിൽ നിന്ന് തുടർച്ചയായി സൃഷ്ടിക്കുന്നു							mlwiki
28069	86.98.33.28	Vijayanrajapuram	2023-09-21T07:15:11Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം: വള്ളത്തോൾ നാരായണമേനോൻ, വൈലോപ്പിള്ളി ശ്രീധരമേനോൻ എന്നീ താളുകളിലെ നശീകരണം							mlwiki
28068	2401:4900:3DA6:3F91:0:0:A31:82B3	Vijayanrajapuram	2023-09-18T11:18:11Z	infinity	അനിശ്ചിത കാലം	നവീൻ പട്‌നായിക് താളിലെ നശീകരണം							mlwiki
28045	14.139.185.121	TheWikiholic	2023-04-01T12:14:56Z	infinity	അനിശ്ചിത കാലം	തുടർച്ചയായി നിഷ്പക്ഷതാരഹിതമായതും താല്പര്യവ്യത്യാസമുള്ളതുമായ വിവരങ്ങൾ  ചേർക്കൽ							mlwiki
28044	117.240.119.164	TheWikiholic	2023-03-31T09:33:22Z	infinity	അനിശ്ചിത കാലം	തുടർച്ചയായി നിഷ്പക്ഷതാരഹിതമായതും താല്പര്യവ്യത്യാസമുള്ളതുമായ വിവരങ്ങൾ  ചേർക്കൽ							mlwiki
28038	195.226.254.138	TheWikiholic	2023-03-07T10:41:47Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം							mlwiki
