namespace_name	no_of_unedited_pages
User talk	813762
Main	51280
Talk	47211
Category talk	31588
User	22121
Category	18589
Template	10888
Template talk	6905
File	1374
Project	1079
MediaWiki talk	728
File talk	683
MediaWiki	452
Project talk	428
Help	29
Help talk	8
