edit_year	edit_month	active_editors
2024	9	99
2024	10	84
2024	11	89
2024	12	87
2025	1	74
2025	2	69
2025	3	68
2025	4	70
2025	5	77
2025	6	74
2025	7	66
2025	8	79
2025	9	23
