edit_year	edit_month	active_editors
2024	9	181
2024	10	218
2024	11	157
2024	12	179
2025	1	193
2025	2	153
2025	3	177
2025	4	144
2025	5	147
2025	6	144
2025	7	208
2025	8	204
2025	9	50
