edit_month	edit_tool	edit_count
2019-11	wikitext	0
2019-12	contenttranslation	4
2019-12	sectiontranslation	0
2019-12	visualeditor	9
2019-12	wikitext	0
2020-01	contenttranslation	0
2020-01	sectiontranslation	0
2020-01	visualeditor	6
2020-01	wikitext	0
2020-02	contenttranslation	0
2020-02	sectiontranslation	0
2020-02	visualeditor	42
2020-02	wikitext	0
2020-03	contenttranslation	0
2020-03	sectiontranslation	0
2020-03	visualeditor	7
2020-03	wikitext	0
2020-04	contenttranslation	0
2020-04	sectiontranslation	0
2020-04	visualeditor	7
2020-04	wikitext	0
2020-05	contenttranslation	0
2020-05	sectiontranslation	0
2020-05	visualeditor	2
2020-05	wikitext	0
2020-06	contenttranslation	0
2020-06	sectiontranslation	0
2020-06	visualeditor	2
2020-06	wikitext	0
2020-07	contenttranslation	0
2020-07	sectiontranslation	0
2020-07	visualeditor	9
2020-07	wikitext	0
2020-08	contenttranslation	0
2020-08	sectiontranslation	0
2020-08	visualeditor	8
2020-08	wikitext	0
2020-09	contenttranslation	1
2020-09	sectiontranslation	0
2020-09	visualeditor	4
2020-09	wikitext	0
2020-10	contenttranslation	1
2020-10	sectiontranslation	0
2020-10	visualeditor	5
2020-10	wikitext	0
2020-11	contenttranslation	0
2020-11	sectiontranslation	0
2020-11	visualeditor	7
2020-11	wikitext	0
2020-12	contenttranslation	0
2020-12	sectiontranslation	0
2020-12	visualeditor	7
2020-12	wikitext	0
2021-01	contenttranslation	0
2021-01	sectiontranslation	0
2021-01	visualeditor	2
2021-01	wikitext	0
2021-02	contenttranslation	0
2021-02	sectiontranslation	0
2021-02	visualeditor	2
2021-02	wikitext	0
2021-03	contenttranslation	0
2021-03	sectiontranslation	0
2021-03	visualeditor	4
2021-03	wikitext	0
2021-04	contenttranslation	3
2021-04	sectiontranslation	0
2021-04	visualeditor	3
2021-04	wikitext	0
2021-05	contenttranslation	0
2021-05	sectiontranslation	0
2021-05	visualeditor	2
2021-05	wikitext	0
2021-06	contenttranslation	0
2021-06	sectiontranslation	0
2021-06	visualeditor	3
2021-06	wikitext	0
2021-07	contenttranslation	0
2021-07	sectiontranslation	0
2021-07	visualeditor	7
2021-07	wikitext	0
2021-08	contenttranslation	0
2021-08	sectiontranslation	0
2021-08	visualeditor	2
2021-08	wikitext	0
2021-09	contenttranslation	0
2021-09	sectiontranslation	0
2021-09	visualeditor	1
2021-09	wikitext	0
2021-10	contenttranslation	0
2021-10	sectiontranslation	0
2021-10	visualeditor	2
2021-10	wikitext	0
2021-11	contenttranslation	0
2021-11	sectiontranslation	0
2021-11	visualeditor	4
2021-11	wikitext	0
2021-12	contenttranslation	0
2021-12	sectiontranslation	0
2021-12	visualeditor	2
2021-12	wikitext	0
2022-01	contenttranslation	0
2022-01	sectiontranslation	0
2022-01	visualeditor	1
2022-01	wikitext	0
2022-02	contenttranslation	8
2022-02	sectiontranslation	0
2022-02	visualeditor	4
2022-02	wikitext	0
2022-03	contenttranslation	0
2022-03	sectiontranslation	0
2022-03	visualeditor	9
2022-03	wikitext	0
2022-04	contenttranslation	0
2022-04	sectiontranslation	0
2022-04	visualeditor	8
2022-04	wikitext	0
2022-05	contenttranslation	0
2022-05	sectiontranslation	0
2022-05	visualeditor	6
2022-05	wikitext	0
2022-06	contenttranslation	0
2022-06	sectiontranslation	0
2022-06	visualeditor	8
2022-06	wikitext	0
2022-07	contenttranslation	0
2022-07	sectiontranslation	0
2022-07	visualeditor	7
2022-07	wikitext	0
2022-08	contenttranslation	0
2022-08	sectiontranslation	0
2022-08	visualeditor	128
2022-08	wikitext	0
2022-09	contenttranslation	2
2022-09	sectiontranslation	0
2022-09	visualeditor	594
2022-09	wikitext	0
2022-10	contenttranslation	0
2022-10	sectiontranslation	0
2022-10	visualeditor	1023
2022-10	wikitext	0
2022-11	contenttranslation	0
2022-11	sectiontranslation	0
2022-11	visualeditor	41
2022-11	wikitext	0
2022-12	contenttranslation	0
2022-12	sectiontranslation	0
2022-12	visualeditor	232
2022-12	wikitext	0
2023-01	contenttranslation	0
2023-01	sectiontranslation	0
2023-01	visualeditor	21
2023-01	wikitext	0
2023-02	contenttranslation	0
2023-02	sectiontranslation	0
2023-02	visualeditor	1
2023-02	wikitext	0
2023-03	contenttranslation	0
2023-03	sectiontranslation	0
2023-03	visualeditor	3
2023-03	wikitext	0
2023-04	contenttranslation	0
2023-04	sectiontranslation	0
2023-04	visualeditor	0
2023-04	wikitext	0
2023-05	contenttranslation	0
2023-05	sectiontranslation	0
2023-05	visualeditor	78
2023-05	wikitext	0
2023-06	contenttranslation	0
2023-06	sectiontranslation	0
2023-06	visualeditor	682
2023-06	wikitext	0
2023-07	contenttranslation	0
2023-07	sectiontranslation	0
2023-07	visualeditor	69
2023-07	wikitext	0
2023-08	contenttranslation	0
2023-08	sectiontranslation	0
2023-08	visualeditor	2
2023-08	wikitext	0
2023-09	contenttranslation	0
2023-09	sectiontranslation	0
2023-09	visualeditor	77
2023-09	wikitext	0
2023-10	contenttranslation	1
2023-10	sectiontranslation	0
2023-10	visualeditor	35
2023-10	wikitext	0
2023-11	contenttranslation	0
2023-11	sectiontranslation	0
