edit_month	edit_tool	edit_count
2019-11	sectiontranslation	0
2019-11	visualeditor	2638
2019-11	wikitext	0
2019-12	contenttranslation	56
2019-12	sectiontranslation	0
2019-12	visualeditor	3180
2019-12	wikitext	0
2020-01	contenttranslation	35
2020-01	sectiontranslation	0
2020-01	visualeditor	3172
2020-01	wikitext	0
2020-02	contenttranslation	106
2020-02	sectiontranslation	0
2020-02	visualeditor	3300
2020-02	wikitext	0
2020-03	contenttranslation	254
2020-03	sectiontranslation	0
2020-03	visualeditor	2916
2020-03	wikitext	0
2020-04	contenttranslation	117
2020-04	sectiontranslation	0
2020-04	visualeditor	4185
2020-04	wikitext	0
2020-05	contenttranslation	79
2020-05	sectiontranslation	0
2020-05	visualeditor	4607
2020-05	wikitext	0
2020-06	contenttranslation	50
2020-06	sectiontranslation	0
2020-06	visualeditor	3583
2020-06	wikitext	0
2020-07	contenttranslation	91
2020-07	sectiontranslation	0
2020-07	visualeditor	3181
2020-07	wikitext	0
2020-08	contenttranslation	197
2020-08	sectiontranslation	0
2020-08	visualeditor	3550
2020-08	wikitext	0
2020-09	contenttranslation	105
2020-09	sectiontranslation	0
2020-09	visualeditor	2614
2020-09	wikitext	0
2020-10	contenttranslation	51
2020-10	sectiontranslation	0
2020-10	visualeditor	3020
2020-10	wikitext	0
2020-11	contenttranslation	58
2020-11	sectiontranslation	0
2020-11	visualeditor	2334
2020-11	wikitext	0
2020-12	contenttranslation	65
2020-12	sectiontranslation	0
2020-12	visualeditor	3471
2020-12	wikitext	0
2021-01	contenttranslation	137
2021-01	sectiontranslation	0
2021-01	visualeditor	3686
2021-01	wikitext	0
2021-02	contenttranslation	86
2021-02	sectiontranslation	0
2021-02	visualeditor	3142
2021-02	wikitext	0
2021-03	contenttranslation	108
2021-03	sectiontranslation	0
2021-03	visualeditor	3057
2021-03	wikitext	0
2021-04	contenttranslation	64
2021-04	sectiontranslation	0
2021-04	visualeditor	2219
2021-04	wikitext	0
2021-05	contenttranslation	171
2021-05	sectiontranslation	0
2021-05	visualeditor	3107
2021-05	wikitext	0
2021-06	contenttranslation	102
2021-06	sectiontranslation	0
2021-06	visualeditor	3278
2021-06	wikitext	0
2021-07	contenttranslation	167
2021-07	sectiontranslation	0
2021-07	visualeditor	3927
2021-07	wikitext	0
2021-08	contenttranslation	101
2021-08	sectiontranslation	0
2021-08	visualeditor	4011
2021-08	wikitext	0
2021-09	contenttranslation	78
2021-09	sectiontranslation	0
2021-09	visualeditor	3833
2021-09	wikitext	0
2021-10	contenttranslation	215
2021-10	sectiontranslation	0
2021-10	visualeditor	3308
2021-10	wikitext	0
2021-11	contenttranslation	234
2021-11	sectiontranslation	0
2021-11	visualeditor	2998
2021-11	wikitext	0
2021-12	contenttranslation	129
2021-12	sectiontranslation	0
2021-12	visualeditor	2774
2021-12	wikitext	0
2022-01	contenttranslation	142
2022-01	sectiontranslation	0
2022-01	visualeditor	3114
2022-01	wikitext	0
2022-02	contenttranslation	183
2022-02	sectiontranslation	0
2022-02	visualeditor	2973
2022-02	wikitext	0
2022-03	contenttranslation	174
2022-03	sectiontranslation	0
2022-03	visualeditor	3307
2022-03	wikitext	0
2022-04	contenttranslation	58
2022-04	sectiontranslation	0
2022-04	visualeditor	2630
2022-04	wikitext	0
2022-05	contenttranslation	152
2022-05	sectiontranslation	0
2022-05	visualeditor	3026
2022-05	wikitext	0
2022-06	contenttranslation	30
2022-06	sectiontranslation	0
2022-06	visualeditor	3031
2022-06	wikitext	0
2022-07	contenttranslation	88
2022-07	sectiontranslation	0
2022-07	visualeditor	3879
2022-07	wikitext	0
2022-08	contenttranslation	155
2022-08	sectiontranslation	0
2022-08	visualeditor	3896
2022-08	wikitext	0
2022-09	contenttranslation	180
2022-09	sectiontranslation	0
2022-09	visualeditor	3544
2022-09	wikitext	0
2022-10	contenttranslation	279
2022-10	sectiontranslation	0
2022-10	visualeditor	3950
2022-10	wikitext	0
2022-11	contenttranslation	80
2022-11	sectiontranslation	0
2022-11	visualeditor	3208
2022-11	wikitext	0
2022-12	contenttranslation	182
2022-12	sectiontranslation	0
2022-12	visualeditor	4120
2022-12	wikitext	0
2023-01	contenttranslation	75
2023-01	sectiontranslation	0
2023-01	visualeditor	4003
2023-01	wikitext	0
2023-02	contenttranslation	122
2023-02	sectiontranslation	0
2023-02	visualeditor	3484
2023-02	wikitext	0
2023-03	contenttranslation	427
2023-03	sectiontranslation	18
2023-03	visualeditor	4248
2023-03	wikitext	0
2023-04	contenttranslation	438
2023-04	sectiontranslation	312
2023-04	visualeditor	5783
2023-04	wikitext	0
2023-05	contenttranslation	284
2023-05	sectiontranslation	98
2023-05	visualeditor	3906
2023-05	wikitext	0
2023-06	contenttranslation	403
2023-06	sectiontranslation	188
2023-06	visualeditor	4028
2023-06	wikitext	0
2023-07	contenttranslation	349
2023-07	sectiontranslation	186
2023-07	visualeditor	3467
2023-07	wikitext	0
2023-08	contenttranslation	506
2023-08	sectiontranslation	72
2023-08	visualeditor	3210
2023-08	wikitext	0
2023-09	contenttranslation	192
2023-09	sectiontranslation	55
2023-09	visualeditor	4033
2023-09	wikitext	0
2023-10	contenttranslation	173
2023-10	sectiontranslation	53
2023-10	visualeditor	3225
2023-10	wikitext	0
2023-11	contenttranslation	177
2023-11	sectiontranslation	30
2023-11	visualeditor	2165
2023-11	wikitext	0
2023-12	contenttranslation	218
2023-12	sectiontranslation	64
2023-12	visualeditor	2459
2023-12	wikitext	0
2024-01	contenttranslation	199
2024-01	sectiontranslation	76
2024-01	visualeditor	3298
2024-01	wikitext	0
2024-02	contenttranslation	154
2024-02	sectiontranslation	39
2024-02	visualeditor	3214
2024-02	wikitext	0
2024-03	contenttranslation	132
2024-03	sectiontranslation	42
2024-03	visualeditor	2761
2024-03	wikitext	0
2024-04	contenttranslation	123
2024-04	sectiontranslation	23
2024-04	visualeditor	3413
2024-04	wikitext	0
2024-05	contenttranslation	143
2024-05	sectiontranslation	18
2024-05	visualeditor	3708
2024-05	wikitext	0
2024-06	contenttranslation	145
2024-06	sectiontranslation	37
2024-06	visualeditor	4450
2024-06	wikitext	0
2024-07	contenttranslation	184
2024-07	sectiontranslation	24
2024-07	visualeditor	4628
2024-07	wikitext	0
2024-08	contenttranslation	116
2024-08	sectiontranslation	17
2024-08	visualeditor	4742
2024-08	wikitext	0
2024-09	contenttranslation	92
2024-09	sectiontranslation	35
2024-09	visualeditor	4503
2024-09	wikitext	0
2024-10	contenttranslation	79
2024-10	sectiontranslation	18
2024-10	visualeditor	4379
2024-10	wikitext	0
2024-11	contenttranslation	95
2024-11	sectiontranslation	3
2024-11	visualeditor	3239
2024-11	wikitext	0
2024-12	contenttranslation	103
2024-12	sectiontranslation	22
2024-12	visualeditor	3077
2024-12	wikitext	0
2025-01	contenttranslation	124
2025-01	sectiontranslation	7
2025-01	visualeditor	4585
2025-01	wikitext	0
2025-02	contenttranslation	144
2025-02	sectiontranslation	64
2025-02	visualeditor	3462
2025-02	wikitext	0
2025-03	contenttranslation	269
2025-03	sectiontranslation	142
2025-03	visualeditor	3631
2025-03	wikitext	0
2025-04	contenttranslation	235
2025-04	sectiontranslation	81
2025-04	visualeditor	2758
2025-04	wikitext	0
2025-05	contenttranslation	260
2025-05	sectiontranslation	34
2025-05	visualeditor	2677
2025-05	wikitext	0
2025-06	contenttranslation	270
2025-06	sectiontranslation	30
2025-06	visualeditor	2427
2025-06	wikitext	0
2025-07	contenttranslation	236
2025-07	sectiontranslation	87
2025-07	visualeditor	2257
2025-07	wikitext	0
2025-08	contenttranslation	292
2025-08	sectiontranslation	133
2025-08	visualeditor	2474
2025-08	wikitext	0
2025-09	contenttranslation	90
2025-09	sectiontranslation	14
2025-09	visualeditor	340
2025-09	wikitext	0
