edit_month	edit_tool	edit_count
2019-11	sectiontranslation	0
2019-11	visualeditor	805
2019-11	wikitext	0
2019-12	contenttranslation	272
2019-12	sectiontranslation	0
2019-12	visualeditor	1443
2019-12	wikitext	0
2020-01	contenttranslation	14
2020-01	sectiontranslation	0
2020-01	visualeditor	1408
2020-01	wikitext	0
2020-02	contenttranslation	35
2020-02	sectiontranslation	0
2020-02	visualeditor	2458
2020-02	wikitext	0
2020-03	contenttranslation	21
2020-03	sectiontranslation	0
2020-03	visualeditor	2814
2020-03	wikitext	0
2020-04	contenttranslation	37
2020-04	sectiontranslation	0
2020-04	visualeditor	3031
2020-04	wikitext	0
2020-05	contenttranslation	33
2020-05	sectiontranslation	0
2020-05	visualeditor	3044
2020-05	wikitext	0
2020-06	contenttranslation	61
2020-06	sectiontranslation	0
2020-06	visualeditor	3462
2020-06	wikitext	0
2020-07	contenttranslation	5
2020-07	sectiontranslation	0
2020-07	visualeditor	3256
2020-07	wikitext	0
2020-08	contenttranslation	32
2020-08	sectiontranslation	0
2020-08	visualeditor	4769
2020-08	wikitext	0
2020-09	contenttranslation	62
2020-09	sectiontranslation	0
2020-09	visualeditor	2178
2020-09	wikitext	0
2020-10	contenttranslation	229
2020-10	sectiontranslation	0
2020-10	visualeditor	1512
2020-10	wikitext	0
2020-11	contenttranslation	166
2020-11	sectiontranslation	0
2020-11	visualeditor	1695
2020-11	wikitext	0
2020-12	contenttranslation	201
2020-12	sectiontranslation	0
2020-12	visualeditor	2455
2020-12	wikitext	0
2021-01	contenttranslation	289
2021-01	sectiontranslation	0
2021-01	visualeditor	2447
2021-01	wikitext	0
2021-02	contenttranslation	85
2021-02	sectiontranslation	0
2021-02	visualeditor	2732
2021-02	wikitext	0
2021-03	contenttranslation	65
2021-03	sectiontranslation	0
2021-03	visualeditor	1418
2021-03	wikitext	0
2021-04	contenttranslation	43
2021-04	sectiontranslation	0
2021-04	visualeditor	2287
2021-04	wikitext	0
2021-05	contenttranslation	149
2021-05	sectiontranslation	0
2021-05	visualeditor	3921
2021-05	wikitext	0
2021-06	contenttranslation	127
2021-06	sectiontranslation	0
2021-06	visualeditor	3358
2021-06	wikitext	0
2021-07	contenttranslation	123
2021-07	sectiontranslation	0
2021-07	visualeditor	6692
2021-07	wikitext	0
2021-08	contenttranslation	88
2021-08	sectiontranslation	0
2021-08	visualeditor	3203
2021-08	wikitext	0
2021-09	contenttranslation	247
2021-09	sectiontranslation	0
2021-09	visualeditor	2870
2021-09	wikitext	0
2021-10	contenttranslation	194
2021-10	sectiontranslation	0
2021-10	visualeditor	3408
2021-10	wikitext	0
2021-11	contenttranslation	126
2021-11	sectiontranslation	0
2021-11	visualeditor	3050
2021-11	wikitext	0
2021-12	contenttranslation	81
2021-12	sectiontranslation	0
2021-12	visualeditor	2903
2021-12	wikitext	0
2022-01	contenttranslation	188
2022-01	sectiontranslation	0
2022-01	visualeditor	3016
2022-01	wikitext	0
2022-02	contenttranslation	113
2022-02	sectiontranslation	0
2022-02	visualeditor	1982
2022-02	wikitext	0
2022-03	contenttranslation	141
2022-03	sectiontranslation	40
2022-03	visualeditor	3320
2022-03	wikitext	0
2022-04	contenttranslation	94
2022-04	sectiontranslation	19
2022-04	visualeditor	3641
2022-04	wikitext	0
2022-05	contenttranslation	98
2022-05	sectiontranslation	22
2022-05	visualeditor	3447
2022-05	wikitext	0
2022-06	contenttranslation	146
2022-06	sectiontranslation	9
2022-06	visualeditor	4629
2022-06	wikitext	0
2022-07	contenttranslation	106
2022-07	sectiontranslation	1
2022-07	visualeditor	7248
2022-07	wikitext	0
2022-08	contenttranslation	71
2022-08	sectiontranslation	27
2022-08	visualeditor	8290
2022-08	wikitext	0
2022-09	contenttranslation	65
2022-09	sectiontranslation	7
2022-09	visualeditor	9393
2022-09	wikitext	0
2022-10	contenttranslation	182
2022-10	sectiontranslation	4
2022-10	visualeditor	8331
2022-10	wikitext	0
2022-11	contenttranslation	98
2022-11	sectiontranslation	5
2022-11	visualeditor	6812
2022-11	wikitext	0
2022-12	contenttranslation	119
2022-12	sectiontranslation	21
2022-12	visualeditor	4993
2022-12	wikitext	0
2023-01	contenttranslation	69
2023-01	sectiontranslation	0
2023-01	visualeditor	5218
2023-01	wikitext	0
2023-02	contenttranslation	61
2023-02	sectiontranslation	1
2023-02	visualeditor	4447
2023-02	wikitext	0
2023-03	contenttranslation	88
2023-03	sectiontranslation	2
2023-03	visualeditor	4896
2023-03	wikitext	0
2023-04	contenttranslation	89
2023-04	sectiontranslation	9
2023-04	visualeditor	4802
2023-04	wikitext	0
2023-05	contenttranslation	354
2023-05	sectiontranslation	0
2023-05	visualeditor	5133
2023-05	wikitext	0
2023-06	contenttranslation	411
2023-06	sectiontranslation	0
2023-06	visualeditor	4342
2023-06	wikitext	0
2023-07	contenttranslation	596
2023-07	sectiontranslation	0
2023-07	visualeditor	6681
2023-07	wikitext	0
2023-08	contenttranslation	1270
2023-08	sectiontranslation	69
2023-08	visualeditor	7906
2023-08	wikitext	0
2023-09	contenttranslation	764
2023-09	sectiontranslation	159
2023-09	visualeditor	7142
2023-09	wikitext	0
2023-10	contenttranslation	1153
2023-10	sectiontranslation	156
2023-10	visualeditor	6726
2023-10	wikitext	0
