edit_month	page_id	page_title	edit_count
2016-05	14031	Āketina	1
2016-05	14468	Sandy	1
2016-06	15690	Marama_Kahu_Fox	10
2016-06	1155	Tōrangapū_Māori	2
2016-06	15695	Irirangi_Te_Motu	2
2016-06	15694	Pāti_Māori	2
2016-06	2472	Katarōnia	1
2016-06	15691	Marama_Fox	1
2016-06	13372	Madrid	1
2016-06	15681	Te_Institute_Hiero	1
2016-06	13548	Motokā	1
2016-06	14029	Parīhi	1
2016-07	15698	Te_Māngai_Pāho	6
2016-07	4664	Meri_Te_Tai_Mangakāhia	6
2016-07	15690	Marama_Kahu_Fox	3
2016-07	13373	Drake_(kaiwaiata)	2
2016-07	15695	Irirangi_Te_Motu	2
2016-07	2699	Marama_(maramataka)	1
2016-07	15500	Flóra_Kádár	1
2016-07	13543	Heātara	1
2016-07	13309	Tapurini	1
2016-07	12276	Perū	1
2016-08	585	Reo_Māori	3
2016-08	14207	Nha_Trang	2
2016-08	13827	Ōhu	1
2016-08	13769	Fukuoka	1
2016-08	13765	Sapporo	1
2016-08	13760	Tōkio	1
2016-08	13762	Yokohama	1
2016-08	13594	Randers	1
2016-08	13598	Horsens	1
2016-08	15690	Marama_Kahu_Fox	1
2016-09	4892	Pokotiwha	3
2016-09	996	Ōtautahi	3
2016-09	15681	Te_Institute_Hiero	2
2016-09	2694	Korokio	1
2016-09	13305	St_Peter_Port	1
2016-09	14020	Anakora	1
2016-09	5842	Huitene	1
2016-09	15713	Teresa_Teng	1
2016-09	13962	Ukānga	1
2016-09	12873	Whenua_Hou	1
2016-10	15725	Te_Whare_Mātakitaki_o_te_Ahurea_Pirihitini	9
2016-10	15717	Peho_Hiri	5
2016-10	15720	Āmiorangi	3
2016-10	585	Reo_Māori	2
2016-10	15724	Western_Wall_Plaza	2
2016-10	12913	John_Michael_Talbot	2
2016-10	575	Māori	2
2016-10	15481	Nippon_Television	1
2016-10	13305	St_Peter_Port	1
2016-10	15726	Te_Museum_o_Pirihitini_Culture	1
2016-11	13192	George_Washington	6
2016-11	15727	Dragon_Ball_Z	4
2016-11	5976	Ngāti_Pakahi	4
2016-11	4094	Aotearoa_Tuatahi	2
2016-11	5872	Mehekina	1
2016-11	1115	Rōpū_Reipa_o_Aotearoa	1
2016-11	13873	Pakitāne	1
2016-11	12764	Te_Hunga_Mahi	1
2016-11	14708	Sung_Jae-gi	1
2016-11	13974	Kandahar	1
2016-12	15735	City_o_Rawiri	3
2016-12	15738	Krav_Maga	3
2016-12	15737	Mini_Iharaira	2
2016-12	13016	John_Key	2
2016-12	15732	Bill_English	2
2016-12	5976	Ngāti_Pakahi	2
2016-12	13373	Drake_(kaiwaiata)	2
2016-12	13260	Chișinău	1
2016-12	15736	Chişinău	1
2016-12	15733	Abir	1
2017-01	1158	Marae	2
2017-01	15741	Ferdinand_Marcos	2
2017-01	6679	Ngāti_Paeahi	1
2017-01	13981	Reo_Pāhia	1
2017-01	13980	Reo_Pahitū	1
2017-01	13978	Mazar-i-Sharif	1
2017-01	13975	Herat	1
2017-01	13209	Parī	1
2017-01	13979	Kunduz	1
2017-01	13974	Kandahar	1
2017-02	585	Reo_Māori	2
2017-02	10482	Makahika	2
2017-02	15690	Marama_Kahu_Fox	2
2017-02	9025	Oakleigh	1
2017-02	13939	Kēnia	1
2017-02	1157	Reo_Pākehā	1
2017-02	5982	Ngāti_Ruamahue	1
2017-02	10885	Arundel	1
2017-02	10375	Tutaenui	1
2017-02	9511	Colville	1
2017-03	6175	Ngāti_Te_Rangikoianake	6
2017-03	3058	Te_Aroha	2
2017-03	13734	Kōrea-ki-te-raki	2
2017-03	12978	Ūkareinga	1
2017-03	1144	Ahitereiria	1
2017-03	12977	Rūhia	1
2017-03	13873	Pakitāne	1
2017-03	3294	Te_Rauparaha	1
